"Run","Peer","Rendered","ErrorP99","ErrorMaximum","FrameP95Ms","FrameMaximumMs","StepP95Ms","StepMaximumMs"
"baseline","player-0","False","0","0","54.984","2267.159","13.736","781.088"
"baseline","player-1","True","3.3795924","6.053895","19.223","460.708","2.477","31.556"
"baseline","player-2","False","4.258188","9.397237","81.638","1700.34","4.81","735.104"
"baseline","player-3","False","2.4800682","8.395397","82.878","1309.591","4.347","715.632"
"baseline","player-4","False","3.6860912","5.8432655","90.289","1511.932","5.154","734.414"
"baseline","player-5","False","2.9923127","10.158776","87.538","1488.253","4.242","784.266"
"baseline","player-6","False","2.625236","4.9147253","81.095","1327.224","5.468","784.108"
"baseline","player-7","False","1.215164","10.063434","90.15","1304.776","4.247","487.194"
"final-eight","player-0","False","0","0","51.851","269.35","10.34","190.007"
"final-eight","player-1","True","0.49041697","5.6125827","18.328","452.57","1.48","14.786"
"final-eight","player-2","False","0.60730237","1.8356613","60.63","262.969","3.461","111.182"
"final-eight","player-3","False","0.6279988","1.388696","61.516","211.252","3.319","80.457"
"final-eight","player-4","False","0.6219229","1.3977393","63.549","248.46","3.237","109.651"
"final-eight","player-5","False","0.6212992","1.2078803","61.558","401.269","3.202","137.158"
"final-eight","player-6","False","0.6301795","1.8345492","63.049","255.957","4.002","122.4"
"final-eight","player-7","False","0.7573699","3.393542","57.93","405.154","3.362","192.163"
"integrated-eight","player-0","False","0","0","49.106","905.292","11.682","256.547"
"integrated-eight","player-1","True","1.0476637","4.1565895","18.772","447.215","2.317","12.794"
"integrated-eight","player-2","False","1.1593605","3.4186091","94.91","432.762","3.646","200.997"
"integrated-eight","player-3","False","1.9396191","4.248466","98.545","537.79","4.202","236.72"
"integrated-eight","player-4","False","1.4227916","3.5669866","103.773","530.029","4.2","234.263"
"integrated-eight","player-5","False","2.0800745","4.78213","83.441","510.089","4.228","240.33"
"integrated-eight","player-6","False","1.6396599","3.345634","101.065","418.198","4.318","225.864"
"integrated-eight","player-7","False","1.6606008","3.9865634","114.645","433","3.799","214.828"
"isolated","player-0","False","0","0","37.077","137.481","9.319","51.203"
"isolated","player-1","True","0.5512872","2.7484531","18.493","436.514","1.53","19.478"
"isolated","player-2","False","2.3447587","6.6629257","43.906","686.025","5.229","541.662"
"isolated","player-3","False","1.1738455","4.6938024","48.82","1062.982","3.7","603.811"
"isolated","player-4","False","1.8147608","3.231418","70.28","727.248","4.633","347.025"
"isolated","player-5","False","2.8427012","8.51601","52.722","860.708","4.313","332.574"
"isolated","player-6","False","2.3888817","4.831083","51.029","721.481","3.71","596.552"
"isolated","player-7","False","2.100696","5.552825","49.836","875.613","3.012","454.375"
"original-isolated","player-0","False","0","0","37.178","85.566","6.211","39.969"
"original-isolated","player-1","True","0.19202784","1.6360278","19.504","435.692","3.07","17.652"
"original-isolated","player-2","False","1.8979672","5.181582","70.024","721.911","2.755","398.345"
"original-isolated","player-3","False","2.4636745","3.576448","73.42","557.928","2.633","303.814"
"original-isolated","player-4","False","1.9915638","5.6104913","41.235","698.712","2.972","313.468"
"original-isolated","player-5","False","2.5957775","3.5667753","125.455","713.971","2.701","286.458"
"original-isolated","player-6","False","2.331602","3.7550192","47.951","633.81","2.184","449.865"
"original-isolated","player-7","False","2.6289306","8.55885","45.129","704.854","1.802","315.123"
"refined","player-0","False","0","0","37.983","609.716","8.606","240.894"
"refined","player-1","True","1.0817404","4.9751444","18.291","442.653","0.941","15.842"
"refined","player-2","False","1.0827594","2.573788","49.677","502.799","2.383","199.155"
"refined","player-3","False","1.3233237","4.0160127","42.405","519.38","1.987","260.573"
"refined","player-4","False","1.2305133","2.7220356","47.831","418.001","2.552","209.599"
"refined","player-5","False","1.2713355","4.7943525","45.394","561.177","2.093","232.105"
"refined","player-6","False","1.3529272","3.2743514","45.018","545.534","3.149","300.325"
"refined","player-7","False","1.6301336","4.1667147","39.136","564.103","2.842","214.391"
