Godot Engine v4.7.2.stable.mono.official.ed1daf0bf - https://godotengine.org

Transport peer 1: Connecting; None;
Transport peer 1: Connecting; None;
Transport peer 1: Connected; None;
Transport peer 1: Connected; None;
Driver 0, case 0, closest 1.112 m, inventory Wrench/None: Wrench passed.
Driver 0, case 1, closest 1.112 m, inventory Missile/None: Missile passed.
Driver 0, case 2, closest 1.112 m, inventory Oil/None: Oil passed.
Driver 0, case 3, closest 1.112 m, inventory Nitro/None: Nitro passed.
Driver 0, case 4, closest 1.112 m, inventory ProxyMine/None: ProxyMine passed.
Driver 0, case 5, closest 1.112 m, inventory Salvo/None: Salvo passed.
Driver 0, case 6, closest 1.112 m, inventory Wrench/None: Wrench passed.
Driver 0, case 7, closest 1.112 m, inventory Wrench/ProxyMine: ProxyMine passed.
Driver 0, case 8, closest 1.112 m, inventory Wrench/ProxyMine: full rejection passed.
Driver 0, case 9, closest 1.112 m, inventory Missile/ProxyMine: Missile passed.
Driver 1, case 0, closest 1.113 m, inventory Wrench/None: Wrench passed.
Driver 1, case 1, closest 1.113 m, inventory Missile/None: Missile passed.
Driver 1, case 2, closest 1.113 m, inventory Oil/None: Oil passed.
Driver 1, case 3, closest 1.113 m, inventory Nitro/None: Nitro passed.
Driver 1, case 4, closest 1.113 m, inventory ProxyMine/None: ProxyMine passed.
Driver 1, case 5, closest 1.113 m, inventory Salvo/None: Salvo passed.
Driver 1, case 6, closest 1.113 m, inventory Wrench/None: Wrench passed.
Driver 1, case 7, closest 1.113 m, inventory Wrench/ProxyMine: ProxyMine passed.
Driver 1, case 8, closest 1.113 m, inventory Wrench/ProxyMine: full rejection passed.
Driver 1, case 9, closest 1.113 m, inventory Missile/ProxyMine: Missile passed.
Pickup drive passed: both application peers acquired every registered item, two sequential slots, full rejection and use/retry.
