Godot Engine v4.7.2.stable.mono.official.ed1daf0bf - https://godotengine.org

practice-scrape: contactTicks=170, speed=8.95, hp=1000.0, peakUp=0.01, peakAngular=0.10, position=<1000.666, 1.1444318, -58.088623>
practice-direct: contactTicks=90, speed=0.00, hp=900.0, peakUp=0.04, peakAngular=1.20, position=<999.4751, 1.1436365, 0.009507374>
practice-oblique: contactTicks=83, speed=2.48, hp=903.1, peakUp=0.01, peakAngular=0.87, position=<1000.2158, 1.1415223, -13.938743>
practice-nitro-scrape: contactTicks=148, speed=29.71, hp=1000.0, peakUp=0.01, peakAngular=0.50, position=<1000.22925, 1.1365637, -92.04247>
practice-seams: contactTicks=170, speed=8.28, hp=1000.0, peakUp=0.02, peakAngular=0.10, position=<1000.51575, 1.1416905, -56.989277>
practice-corner: contactTicks=170, speed=0.00, hp=914.6, peakUp=0.05, peakAngular=1.03, position=<1000.62006, 1.1431391, -31.523207>
practice-nitro-corner: contactTicks=148, speed=0.00, hp=900.0, peakUp=0.01, peakAngular=1.61, position=<1000.5325, 1.1425745, -31.54702>
practice-exit: contactTicks=4, speed=14.95, hp=1000.0, peakUp=0.01, peakAngular=0.09, position=<1004.33307, 1.1449571, -70.10078>
practice-repeated-direct-0: contactTicks=90, speed=0.00, hp=900.0, peakUp=0.04, peakAngular=1.20, position=<999.4751, 1.1436365, 0.009507374>
practice-repeated-direct-1: contactTicks=90, speed=0.00, hp=900.0, peakUp=0.04, peakAngular=1.20, position=<999.4751, 1.1436365, 0.009507374>
practice-repeated-direct-2: contactTicks=90, speed=0.00, hp=900.0, peakUp=0.04, peakAngular=1.20, position=<999.4751, 1.1436365, 0.009507374>
practice-rock: contactTicks=83, speed=0.00, hp=900.0, peakUp=0.00, peakAngular=1.20, position=<1000.04877, 1.194562, -8.801554>
practice-pillar: contactTicks=88, speed=0.00, hp=900.0, peakUp=0.03, peakAngular=1.16, position=<1006.53625, 1.1420217, 0.0062703616>
practice-pillar-offcenter: contactTicks=88, speed=0.00, hp=900.0, peakUp=0.02, peakAngular=1.20, position=<1006.52856, 1.1426326, 0.010991804>
practice-oval: contactTicks=335, sections=358, speed=40.61, hp=1000.0, peakAngular=0.45, peakSupportSpeed=0.61
network-scrape: contactTicks=171, speed=7.65, hp=1000.0, peakUp=0.01, peakAngular=0.11, position=<1000.4576, 1.1433358, -55.731987>
network-direct: contactTicks=44, speed=0.00, hp=900.0, peakUp=0.00, peakAngular=1.20, position=<999.3904, 1.1446692, 0.00078018825>
network-oblique: contactTicks=67, speed=1.68, hp=903.1, peakUp=0.01, peakAngular=1.03, position=<1000.05585, 1.142044, -12.774066>
network-nitro-scrape: contactTicks=149, speed=24.87, hp=1000.0, peakUp=0.01, peakAngular=0.30, position=<1000.15576, 1.1434982, -84.30976>
network-seams: contactTicks=171, speed=7.65, hp=1000.0, peakUp=0.01, peakAngular=0.11, position=<1000.4576, 1.1433358, -55.732033>
network-corner: contactTicks=60, speed=0.00, hp=917.9, peakUp=0.02, peakAngular=1.06, position=<1000.4545, 1.1443347, -31.436926>
network-nitro-corner: contactTicks=132, speed=0.00, hp=900.0, peakUp=0.01, peakAngular=0.75, position=<1000.33325, 1.1443863, -31.538153>
network-exit: contactTicks=4, speed=14.92, hp=1000.0, peakUp=0.01, peakAngular=0.11, position=<1005.5163, 1.144918, -69.880775>
network-repeated-direct-0: contactTicks=44, speed=0.00, hp=900.0, peakUp=0.00, peakAngular=1.20, position=<999.3904, 1.1446692, 0.00078018825>
network-repeated-direct-1: contactTicks=44, speed=0.00, hp=900.0, peakUp=0.00, peakAngular=1.20, position=<999.3904, 1.1446692, 0.00078018825>
network-repeated-direct-2: contactTicks=44, speed=0.00, hp=900.0, peakUp=0.00, peakAngular=1.20, position=<999.3904, 1.1446692, 0.00078018825>
network-rock: contactTicks=15, speed=0.00, hp=900.0, peakUp=0.00, peakAngular=0.20, position=<999.9761, 1.144696, -8.185698>
network-pillar: contactTicks=5, speed=0.00, hp=900.0, peakUp=0.02, peakAngular=1.15, position=<1006.51514, 1.1426426, 0.14102775>
network-pillar-offcenter: contactTicks=1, speed=0.02, hp=900.0, peakUp=0.02, peakAngular=1.20, position=<1006.51306, 1.1431886, 0.16002049>
network-oval: contactTicks=287, sections=356, speed=41.51, hp=1000.0, peakAngular=0.51, peakSupportSpeed=0.38
Environment collision checks: failures=0
