"Phase","Scenario","Player","StartupP95","StartupP99","StartupMax","SteadyP95","SteadyP99","SteadyMax","SteadyAboveCentimetrePerSecond","HardSnaps","BufferedDelayMeanMs","BufferedDelayMaxMs","RttMeanMs","SnapshotAgeP95Ms","Snapshots","LastAcknowledged","MaxPending","FinalPending","LimitedFrames","SteadyLimitedFrames","FrameP99Ms","FrameMaxMs"
"baseline","zero","2","0.5597668290138245","0.727465033531189","0.727465033531189","0","0.001016411930322647","0.0014925833093002439","0","0","93.07329803975024","456.07081597799987","0","66.66666666666667","328","955","24","6",,,"51.378","71.941"
"baseline","wan60","2","0.7325162291526794","2.607571601867676","2.607571601867676","0.0012168065877631307","0.006647771690040827","0.04747675731778145","0.07142857142856952","2","900.0984176256329","1880.6853666666675","60.021875","150","338","951","65","10",,,"844.01","1435.764"
"baseline","wan100","2","0.6211869716644287","8.530805587768555","8.530805587768555","0.002317408099770546","0.0039446488954126835","0.1702621430158615","0.07142857142856952","3","3357.828299868194","5837.637663076625","109.803125","449.99999999999994","445","954","83","7",,,"1769.673","1780.102"
"baseline","loss","2","0.5532628893852234","1.1458033323287964","1.1458033323287964","0","0.04287591949105263","0.06923076510429382","0.2857142857142781","0","104.81306532481476","467.4253999999995","0","66.66666666666667","320","953","21","8",,,"37.807","52.676"
"baseline","eight","2","0.861025333404541","8.218875885009766","8.218875885009766","0.0033014884684234858","0.03798374533653259","0.06211185082793236","0.5714285714285562","2","664.5523957552529","1459.4261109339573","68.353125","249.99999999999997","315","949","82","12",,,"38.398","59.139"
"baseline","eight","3","0.8512844443321228","4.243395805358887","4.243395805358887","0.007616381160914898","0.15647606551647186","0.38939884305000305","0.9285714285714038","2","710.4886351270371","1515.1083762676828","74.29270833333334","550","315","948","83","13",,,"26.539","69.514"
"baseline","eight","8","0.676760196685791","3.872471332550049","3.872471332550049","0","0.020764725282788277","0.20008017122745514","0.21428571428570858","2","674.3210971530832","1476.9339836667384","78.93541666666667","483.33333333333326","317","952","83","9",,,"36.902","50.62"
"baseline","eight","5","0.8204476833343506","4.412761211395264","4.412761211395264","0.23213578760623932","0.4861394464969635","1.0247606039047241","2.357142857142794","2","667.7188823771452","1464.2873065238894","75.803125","266.6666666666667","310","951","82","10",,,"34.279","47.57"
"baseline","eight","4","0.9433024525642395","4.089423656463623","4.089423656463623","0.07640089839696884","0.3427429795265198","0.5059070587158203","2.357142857142794","2","678.6262034934164","1477.7672407133116","76.365625","499.99999999999994","317","953","83","8",,,"30.902","40.746"
"baseline","eight","6","0.8389438986778259","2.425128221511841","2.425128221511841","0.00048800549120642245","0.015184829011559486","0.18373121321201324","0.2857142857142781","2","1491.1063556497477","2746.3445747040632","79.01666666666667","283.3333333333333","325","948","81","13",,,"875.197","1598.276"
"baseline","eight","7","0.7234063744544983","4.30934476852417","4.30934476852417","0.011033376678824425","0.37166768312454224","0.43601828813552856","0.9999999999999734","2","677.5622014923896","1473.7246553743075","78.16875","249.99999999999997","322","952","80","9",,,"37.429","51.255"
"final","zero","2","1.8636106252670288","1.8636106252670288","1.8636106252670288","0","0","0.001260404591448605","0","1","38.42030714419427","100","0","416.66666666666663","330","957","74","4","58","0","42.875","56.7"
"final","wan60","2","1.7548655271530151","2.2538020610809326","2.2538020610809326","0","0","0.11165051907300949","0.07142857142856952","2","41.29701788444296","137.38699516721437","60.10104166666667","249.99999999999997","327","953","78","8","61","0","20.682","41.303"
"final","wan100","2","1.5712594985961914","2.337695360183716","2.337695360183716","0.001879362971521914","0.0030554516706615686","0.0035258373245596886","0","1","77.80980888689376","145.8669896520734","109.37395833333333","650.0000000000003","411","951","81","10","123","56","1719.411","1751.106"
"final","loss","2","0.763208270072937","3.5757975578308105","3.5757975578308105","0","2.1925437977188267E-05","0.002892044372856617","0","1","47.00928553823624","148.33630000000005","0","199.99999999999997","322","957","63","4","47","0","53.178","66.166"
"final","eight","2","0.5737704634666443","0.6994563937187195","0.6994563937187195","0.07261545211076736","0.6474871635437012","1.5714046955108643","1.214285714285682","0","85.22773662039008","136.24820284599983","70.37291666666667","566.6666666666667","351","948","82","13","135","65","1481.588","1499.316"
"final","eight","3","0.6211075186729431","0.9142548441886902","0.9142548441886902","0.20888951420783997","0.8999435305595398","1.415719985961914","1.071428571428543","0","46.21889913491488","146.70228586456014","74.984375","300","316","951","85","10","72","0","22.01","62.008"
"final","eight","6","0.841194748878479","0.9236870408058167","0.9236870408058167","0.09599719196557999","0.8009592890739441","1.22036874294281","1.1428571428571124","0","44.75472752049869","145.8668858749751","76.66041666666666","199.99999999999997","313","950","83","11","72","0","34.974","61.684"
"final","eight","5","0.6606155037879944","0.6897261142730713","0.6897261142730713","0.1904056817293167","0.8485495448112488","1.224983811378479","1.071428571428543","0","46.157506164591204","145.87976124340778","74.9125","249.99999999999997","314","952","85","9","73","0","22.569","56.25"
"final","eight","4","1.1007930040359497","1.4752552509307861","1.4752552509307861","0.13186132907867432","0.8511930704116821","1.4605666399002075","1.214285714285682","0","50.92421847591834","145.8679877583286","76","283.3333333333333","304","950","82","11","71","1","37.437","61.667"
"final","eight","8","0.6893908977508545","1.0344880819320679","1.0344880819320679","0","0.8953628540039062","0.9709054827690125","0.8571428571428343","0","45.408669783596196","131.66849999999997","75.93541666666667","183.33333333333331","308","950","83","11","72","0","21.383","68.296"
"final","eight","7","0.622024655342102","0.6443504095077515","0.6443504095077515","0.09341686218976974","0.8757978081703186","1.4498505592346191","1.071428571428543","1","48.14603516115083","145.8670877665077","76.85416666666667","266.6666666666667","316","952","82","9","70","0","22.979","55.053"
