"Phase","Scenario","Player","RTTMean","StartupP95","StartupP99","StartupMax","StartupRate","SteadyP95","SteadyP99","SteadyMax","SteadyRate","HardSnaps","StartupHardSnaps","SteadyHardSnaps","BufferedMean","BufferedP99","TimelineMean","SnapshotAgeP99","PendingMax","PendingFinal","AckFinal","Snapshots","ImmediateFrames","SteadyHeld","FrameP99","StepMean"
"baseline","zero","2","0","0.5597668290138245","0.727465033531189","0.727465033531189","14.5","0","0.001016411930322647","0.0014925833093002439","0","0",,,"93.07329803975024","409.4100159779993",,"166.66666666666666","24","6","955","328","652",,"51.378","11.174660416666665"
"baseline","wan60","2","60.021875","0.7325162291526794","2.607571601867676","2.607571601867676","16","0.0012168065877631307","0.006647771690040827","0.04747675731778145","0.07142857142856952","2",,,"900.0984176256329","1880.6853666666675",,"716.6666666666672","65","10","951","338","654",,"844.01","12.941102083333334"
"baseline","wan100","2","109.803125","0.6211869716644287","8.530805587768555","8.530805587768555","18.5","0.002317408099770546","0.0039446488954126835","0.1702621430158615","0.07142857142856952","3",,,"3357.828299868194","5837.637663076625",,"1083.3333333333344","83","7","954","445","563",,"1769.673","19.610910416666666"
"baseline","loss","2","0","0.5532628893852234","1.1458033323287964","1.1458033323287964","12.5","0","0.04287591949105263","0.06923076510429382","0.2857142857142781","0",,,"104.81306532481476","434.10049999999933",,"133.33333333333334","21","8","953","320","658",,"37.807","1.1618395833333335"
"baseline","eight","2","68.353125","0.861025333404541","8.218875885009766","8.218875885009766","20.5","0.0033014884684234858","0.03798374533653259","0.06211185082793236","0.5714285714285562","2",,,"664.5523957552529","1431.097910933957",,"716.6666666666672","82","12","949","315","666",,"38.398","1.2246312500000007"
"baseline","eight","3","74.29270833333334","0.8512844443321228","4.243395805358887","4.243395805358887","21","0.007616381160914898","0.15647606551647186","0.38939884305000305","0.9285714285714038","2",,,"710.4886351270371","1483.440976267683",,"1183.333333333334","83","13","948","315","667",,"26.539","1.081104166666667"
"baseline","eight","8","78.93541666666667","0.676760196685791","3.872471332550049","3.872471332550049","21.5","0","0.020764725282788277","0.20008017122745514","0.21428571428570858","2",,,"674.3210971530832","1446.948283666738",,"1116.6666666666677","83","9","952","317","664",,"36.902","1.9145802083333339"
"baseline","eight","5","75.803125","0.8204476833343506","4.412761211395264","4.412761211395264","20.5","0.23213578760623932","0.4861394464969635","1.0247606039047241","2.357142857142794","2",,,"667.7188823771452","1436.454506523889",,"883.3333333333344","82","10","951","310","671",,"34.279","1.1536062500000002"
"baseline","eight","4","76.365625","0.9433024525642395","4.089423656463623","4.089423656463623","20","0.07640089839696884","0.3427429795265198","0.5059070587158203","2.357142857142794","2",,,"678.6262034934164","1447.781540713311",,"1133.3333333333342","83","8","953","317","665",,"30.902","0.899035416666667"
"baseline","eight","6","79.01666666666667","0.8389438986778259","2.425128221511841","2.425128221511841","21","0.00048800549120642245","0.015184829011559486","0.18373121321201324","0.2857142857142781","2",,,"1491.1063556497477","2746.3445747040632",,"900.0000000000011","81","13","948","325","673",,"875.197","12.386766666666666"
"baseline","eight","7","78.16875","0.7234063744544983","4.30934476852417","4.30934476852417","20.5","0.011033376678824425","0.37166768312454224","0.43601828813552856","0.9999999999999734","2",,,"677.5622014923896","1442.0572553743075",,"883.3333333333344","80","9","952","322","660",,"37.429","0.9750937499999996"
"completed","zero","2","0","0.21224305033683777","0.46714746952056885","0.46714746952056885","2.5","0","0","0.09567660093307495","0.07142857142856952","0","0","0","40.336546125587766","103.34029999999998","69.88515723669887","883.3333333333344","64","4","957","329","614","0","17.703","0.44125833333333375"
"completed","wan60","2","60.1","0.14689072966575623","0.26929765939712524","0.26929765939712524","3","0","0","0","0","0","0","0","39.474817631336556","87.83249633196016","65.55120652022553","833.3333333333343","75","9","952","329","609","0","20.125","0.37610208333333356"
"completed","wan100","2","107.92916666666666","2.0028159618377686","2.252310037612915","2.252310037612915","10.5","0","0","0.16851535439491272","0.07142857142856952","1","1","0","45.25418891675897","114.19948775832864","73.29238336120346","883.3333333333344","80","12","949","327","599","0","19.726","0.46147604166666695"
"completed","loss","2","0","1.5788161754608154","2.3414807319641113","2.3414807319641113","12.5","0","0","0.00010261981515213847","0","1","1","0","42.30152748561871","116.67290000000132","71.06888859672979","883.3333333333344","64","6","955","321","614","0","21.309","5.037454166666666"
"completed","eight","2","67.68958333333333","1.2137435674667358","1.483120322227478","1.483120322227478","14","0.00823943130671978","0.5641128420829773","0.5862759947776794","0.9285714285714038","1","1","0","48.303435002333686","131.25074999999975","66.58468500233364","866.6666666666677","83","11","950","318","594","0","28.306","0.7760093750000003"
"completed","eight","3","75.096875","1.0032610893249512","1.1501201391220093","1.1501201391220093","14","0.009655267931520939","0.4364403486251831","0.8281741142272949","0.9285714285714038","0","0","0","48.105950371932565","131.24965833333349","72.862894816377","583.3333333333335","84","8","953","316","598","1","21.825","0.5712625000000007"
"completed","eight","4","74.940625","1.5975133180618286","1.6878379583358765","1.6878379583358765","15","0","0.3728322684764862","0.38942062854766846","0.42857142857141717","1","1","0","46.80452716463456","131.5285166666667","81.38786049796786","1133.3333333333342","83","10","951","323","594","0","21.406","0.7558614583333331"
"completed","eight","5","76.40208333333334","0.9360884428024292","1.037168025970459","1.037168025970459","15","0","0.5947300791740417","0.8471251726150513","0.7857142857142648","0","0","0","48.03580734658379","127.53438776558141","74.6156684576949","600.0000000000002","84","9","952","314","600","0","21.911","0.5003718750000004"
"completed","eight","6","76.20104166666667","0.9951919913291931","1.1896952390670776","1.1896952390670776","15","0.0007867186213843524","0.5827757716178894","1.0558562278747559","0.4999999999999867","1","0","1","55.48564739506296","131.5285166666667","108.22870295061846","883.3333333333344","85","12","949","320","548","58","90.498","5.410856250000001"
"completed","eight","8","76.71875","1.0073059797286987","1.0762734413146973","1.0762734413146973","16","0.013393288478255272","0.174673393368721","0.5657619833946228","1.1428571428571124","0","0","0","48.3118025837625","145.86578964165682","82.82569147265144","1133.3333333333342","82","12","949","322","597","0","29.316","0.9562989583333342"
"completed","eight","7","76.31458333333333","1.5258318185806274","2.120333194732666","2.120333194732666","12.5","0","0.3945799171924591","0.7659856081008911","0.42857142857141717","1","1","0","50.5611830161004","131.66739999999967","89.48479412721161","1150.000000000001","83","8","953","310","606","0","20.972","0.4623854166666674"
