"Case","Vehicle","RTT","StartupMax","SteadyP95","SteadyP99","SteadyMax","Above1cmHz","HardSnaps","StartupSnaps","SteadySnaps","HeldTicks","AllHeldTicks","BufferMean","TimelineMean","TimelineP99","SnapshotAgeMax","PendingMax","FinalPending","Snapshots","Ack","Immediate","FrameP99","FrameMax","StepMean","StepBytes"
"capture-overhead","2","60.025","0.15874361991882324","0","1.5728399375802837E-05","0.24600771069526672","0.07142857142856952","0","0","0","0","0","40.65265292760231","59.87549344788394","98.45061204068297","65.8815000206232","13","10","337","951","647","19.767","186.263","0.6434979166666664","34875.3"
"final-100","2","107.603125","0.20707161724567413","0","0","0.06145152822136879","0.07142857142856952","0","0","0","0","9","42.75280336789969","61.536322742625416","102.26475398242746","67.2162999981083","24","9","325","952","640","20.603","40.328","0.5755364583333331","35851.1"
"final-60","2","60.13854166666667","0.24218234419822693","0","0","0.003150900127366185","0","0","0","0","0","5","40.9836975741581","58.45564955450315","94.48969103215722","50.46519997995347","22","6","325","955","641","19.691","35.806","0.4469843750000003","35215.00833333333"
"final-eight-1","2","67.89270833333333","0.21852441132068634","0","0","0.0013626058353111148","0","0","0","0","0","15","50.329457031151854","73.32040640704147","116.80640000849962","183.26379999052733","28","10","300","951","654","20.25","35.533","0.5284427083333333","36208.125"
"final-eight-1","3","73.140625","0.2070571631193161","0","0.021990016102790833","0.0724237933754921","0.42857142857141717","0","0","0","0","18","46.81142611745225","71.15511851411541","183.45820001559332","333.2500000251457","36","8","305","953","644","20.713","54.61","0.514360416666667","41452.541666666664"
"final-eight-1","4","75.815625","0.22274042665958405","0","0.011133321560919285","0.1569427102804184","0.2857142857142781","0","0","0","0","13","51.2255768395062","73.0671964243539","135.6674999767282","184.0807999833487","25","11","305","950","648","20.272","39.279","0.6993572916666669","39756.725"
"final-eight-1","5","76.98125","0.22274136543273926","0.0028920629993081093","0.018049001693725586","0.18820837140083313","0.3571428571428476","0","0","0","0","15","50.72704173672922","72.1336063177164","137.16859997501086","187.29590001748875","29","10","310","951","643","20.043","39.839","0.5827895833333337","42540.65"
"final-eight-1","6","76.77604166666667","0.22274136543273926","0","0.0064746481366455555","0.18619784712791443","0.14285714285713905","0","0","0","0","15","49.868997377941454","71.74870029494814","135.69189998789886","184.8677999805659","31","10","305","951","649","19.832","41.188","0.5756583333333338","40088.63333333333"
"final-eight-1","8","76.83229166666666","0.18395838141441345","0","0.000727417878806591","0.05415893346071243","0.14285714285713905","0","0","0","1","16","51.78129196083898","74.29838956675039","138.80030004806525","183.3115000044927","30","11","304","950","648","20.069","39.917","0.4958645833333336","39663.066666666666"
"final-eight-1","7","76.51458333333333","0.19552411139011383","0","0.007346154190599918","0.21526022255420685","0.14285714285713905","0","0","0","0","13","44.859982371238736","66.1421341402002","110.48884702207715","151.3111999956891","31","13","307","948","650","19.503","39.924","0.4120729166666671","37369.36666666667"
